,Surname,EstimatedSalary,Exited
2032,Banks,178106.34,1
2033,Pugliesi,132152.32,0
2034,Fantin,21521.38,0
2035,Bentley,27431.62,0
2036,Freeman,42143.61,0
2037,Wong,106457.11,1
2038,Onwuamaeze,133831.37,1
2039,Shen,164083.72,0
2040,Huang,159207.34,0
2041,Yeh,84487.62,0
2042,Shih,3674.71,0
2043,Henderson,12092.03,0
2044,Fang,77475.73,0
2045,Dellucci,41291.73,0
2046,Chou,343.38,0
2047,Conti,47432.43,0
2048,Roberts,127827.18,0
2049,Lo Duca,35633.15,1
2050,Glover,182865.09,1
2051,Johnstone,169386.81,0
2052,Ashton,149073.88,0
2053,Melton,184107.26,1
2054,Marshall,22750.17,0
2055,Kenenna,11950.29,0
2056,Zakharov,152880.07,1
2057,Chukwualuka,175252.78,0
2058,Chu,174303.29,0
2059,Capon,80701.72,0
2060,Cattaneo,198516.2,0
2061,Patrick,175756.36,0
2062,Taylor,82824.08,0
2063,Stephenson,179866.01,1
2064,Yeh,159899.97,0
2065,DeRose,138504.28,0
2066,Vavilov,127394.67,0
2067,Browne,58961.49,0
2068,Collingridge de Tourcey,103644.98,1
2069,Rowe,119647.7,0
2070,Jibunoh,28465.86,1
2071,Korovin,152979.14,0
2072,Hammonds,190911.02,0
2073,Ward,95794.98,0
2074,Olisanugo,189742.78,1
2075,Gallop,188574.08,0
2076,Gartrell,183872.88,1
2077,K'ung,196555.32,0
2078,Oluchi,112503.24,1
2079,Jamieson,46864.0,0
2080,Barlow,65864.4,1
2081,White,125167.92,0
2082,Stewart,177519.39,0
2083,Buccho,169653.32,0
2084,Benson,118372.55,1
2085,Thompson,16481.12,0
2086,Todd,138525.19,0
2087,Burgin,14608.0,1
2088,Nnaife,81548.38,0
2089,Okwudiliolisa,69608.48,0
2090,Johnson,68873.8,0
2091,Parkes,81102.81,0
2092,Lo,81054.0,1
2093,Martin,74149.77,0
2094,Kapustina,99503.19,0
2095,Page,10109.47,0
2096,Amaechi,58855.85,0
2097,Munro,84402.46,0
2098,Panicucci,49713.87,1
2099,Greathouse,133537.53,0
2100,Ts'ui,124615.59,0
2101,Napolitani,98090.69,0
2102,Beers,42607.69,0
2103,Tretyakova,192434.11,0
2104,Lin,60686.4,0
2105,Costa,49463.44,0
2106,Ibezimako,81431.99,1
2107,Marcelo,22909.56,0
2108,Hay,65532.17,0
2109,Moore,141053.85,0
2110,Lumholtz,3472.63,1
2111,Simpson,102083.78,0
2112,Hill,1801.77,0
2113,Mouzon,85185.44,0
2114,Wu,119882.7,0
2115,Pirozzi,83715.66,1
2116,Ibeabuchi,23425.78,0
2117,Garnsey,77326.78,0
2118,Synnot,156150.08,1
2119,Wildman,108577.97,0
2120,Anenechukwu,133573.29,1
2121,Tai,102057.86,0
2122,Plant,47247.56,0
2123,Azubuike,114566.47,0
2124,Galkin,184464.7,1
2125,Johnston,151401.33,0
2126,Babbage,70607.1,0
2127,Walker,147074.67,0
2128,Rice,105780.18,0
2129,Norton,109496.45,0
2130,Bogolyubov,137739.45,0
2131,Gibbons,105140.92,0
2132,Chia,113276.46,1
2133,Smith,172531.23,0
2134,Hunter,64375.4,0
2135,Ekechukwu,28434.44,1
2136,Bellucci,46941.41,0
2137,Ford,29333.01,0
2138,Scott,193724.51,0
2139,Gregson,34967.75,1
2140,Moore,55663.85,0
2141,Wallace,55753.12,1
2142,Cook,176962.31,0
2143,Speth,181507.44,0
2144,Boag,61995.57,0
2145,Grave,98349.13,0
2146,Streeten,59748.19,0
2147,Fox,159840.51,0
2148,Artemyeva,6656.64,0
2149,Giordano,37141.62,1
2150,Perkins,37094.75,0
2151,Walton,159475.08,1
2152,Hay,51548.14,1
2153,Gardner,58719.63,1
2154,Milne,7861.68,1
2155,She,19199.61,0
2156,Hu,178504.29,0
2157,Uwakwe,189016.14,0
2158,Bird,156048.64,0
2159,Anderson,52876.41,0
2160,Bellew,19653.08,0
2161,Cocci,139451.98,0
2162,Krichauff,128136.29,0
2163,Cameron,45206.57,0
2164,Becker,190146.83,0
2165,Ainsworth,158313.87,0
2166,Biryukov,96670.2,0
2167,Redding,62163.53,0
2168,Wood,88428.41,1
2169,Scott,35908.46,0
2170,Gould,168780.04,0
2171,Hao,191263.76,0
2172,Power,83052.03,0
2173,White,125962.02,0
2174,Thorpe,164696.27,0
2175,Tuan,187011.96,0
2176,Inman,55324.49,0
2177,Hanson,34335.55,0
2178,MacDonald,17004.14,0
2179,Parkes,116331.42,0
2180,Stanley,22974.01,0
2181,Fischer,49725.16,1
2182,Chinweuba,87412.74,0
2183,Henning,26136.89,0
2184,Ogochukwu,126554.96,0
2185,Narelle,193321.3,0
2186,Bergman,90928.02,1
2187,Sagese,76510.46,0
2188,Anenechi,120115.5,0
2189,Palerma,197984.58,0
2190,Okwudilichukwu,142977.05,1
2191,Harrison,82522.61,1
2192,Jamieson,150664.97,0
2193,Goodman,114153.44,0
2194,Ko,171706.66,0
2195,Norman,119071.56,1
2196,Ugochukwutubelum,143007.49,1
2197,Uvarova,31302.35,0
2198,Chia,71139.8,0
2199,Piazza,54122.89,0
2200,Power,120031.29,0
2201,P'eng,104076.51,0
2202,Johnson,175853.64,0
2203,Walker,175795.87,0
2204,Innes,15360.91,0
2205,Francis,168460.12,0
2206,Chidozie,181177.9,0
2207,Mackenzie,58363.94,0
2208,Craigie,20276.87,1
2209,Manfrin,91514.62,0
2210,Onyekachi,76703.1,0
2211,Pethard,110887.14,0
2212,Nwabugwu,109843.16,0
2213,DeRose,12577.21,1
2214,Ch'eng,179365.1,0
2215,Padovesi,65816.53,0
2216,Obielumani,124170.9,0
2217,Stephens,175015.12,0
2218,Emery,115441.66,0
2219,Dufresne,128247.03,0
2220,Lee,141914.94,0
2221,Hsing,115566.57,1
2222,Longo,175423.69,0
2223,Vial,133447.49,0
2224,Chukwudi,114474.98,0
2225,Grant,52044.66,0
2226,Ma,180290.68,0
2227,Sun,132034.13,0
2228,Moss,20968.88,0
2229,Booth,158735.1,0
2230,Ross,196134.44,0
2231,Ndukaku,22374.97,0
2232,Pruneda,161668.15,0
2233,Neumann,67339.34,0
2234,Calabrese,56229.72,1
2235,Yobachukwu,140991.23,1
2236,Tung,177644.52,1
2237,Marchesi,142342.55,1
2238,Hess,154559.28,0
2239,Pickering,176570.28,1
2240,Mazzi,191961.83,0
2241,Madukaego,9452.88,1
2242,Trentino,165257.31,0
2243,Paterson,169763.89,1
2244,Marchesi,160663.11,0
2245,Anayolisa,192072.1,1
2246,Poole,93275.61,0
2247,Zhou,112269.67,0
2248,Bates,2186.83,0
2249,Olejuru,43075.7,0
2250,Bustard,12368.11,0
2251,Wade,42410.21,0
2252,Tan,190430.81,0
2253,Ngozichukwuka,138394.37,0
2254,Calabrese,172501.38,0
2255,Lane,197916.43,0
2256,Forbes,7035.36,0
2257,Davy,159676.55,0
2258,Ma,80603.99,0
2259,Barrera,187599.8,0
2260,Alexander,94450.97,0
2261,Ngozichukwuka,143981.27,0
2262,Murray,26450.57,1
2263,Hall,164482.92,0
2264,Padovesi,84012.81,0
2265,Lysaght,101192.08,0
2266,Kelechi,175324.74,1
2267,Nebechi,197226.32,0
2268,Hanson,99504.03,1
2269,Kao,83700.66,0
2270,Tu,28226.15,1
2271,Palerma,35321.65,0
2272,Fallaci,41229.73,1
2273,Shen,78970.58,0
2274,Ts'ui,107890.69,1
2275,Chikezie,191870.28,0
2276,He,7905.06,1
2277,Dreyer,65731.53,0
2278,Short,145698.73,0
2279,Hunt,50046.25,0
2280,Ricci,60830.24,0
2281,Teng,158853.98,0
2282,Ijendu,111243.09,0
2283,Kibby,171014.69,0
2284,Obiuto,170835.32,0
2285,Ramos,47775.34,1
2286,Calabrese,139297.71,0
2287,Vasin,195167.38,0
2288,Munro,160948.87,0
2289,Keeley,44965.54,1
2290,Archer,52137.73,0
2291,Murray,109296.18,0
2292,Chidiegwu,20092.89,0
2293,Tang,197804.0,1
2294,Farrar,118782.06,0
2295,Shaw,152876.13,1
2296,Napolitani,135655.29,1
2297,Greenhalgh,103970.58,0
2298,Martin,35786.76,0
2299,Hu,25325.07,0
2300,Y?an,18732.84,0
2301,Odili,118522.73,0
2302,H?,89972.25,0
2303,Chiemela,187194.15,0
2304,Yuan,106785.7,0
2305,Clements,142516.35,0
2306,Kolesnikov,73334.43,0
2307,Rutherford,186612.47,0
2308,Hsiung,123613.81,0
2309,Angelo,31368.08,1
2310,Mendes,40066.95,0
2311,McGregor,175969.19,0
2312,Bronner,10034.77,1
2313,Mironova,151167.94,0
2314,Ku,191387.76,0
2315,Evans,51229.17,0
2316,Henderson,87351.42,1
2317,Smith,48984.95,0
2318,Russell,182738.0,0
2319,Sun,153535.27,0
2320,McDonald,125079.65,0
2321,Wong,162321.26,0
2322,Niu,3414.72,0
2323,Fanucci,165082.25,0
2324,Zetticci,52021.39,0
2325,Hsia,148256.43,0
2326,McIntosh,122899.01,0
2327,Kozlova,10771.46,0
2328,Meany,18255.51,0
2329,Thompson,183566.78,0
2330,Le Gallienne,175224.12,0
2331,Cheng,147913.56,0
2332,P'eng,180598.66,0
2333,Lloyd,186136.48,0
2334,Wheeler,7455.2,0
2335,Christie,80552.11,1
2336,He,25722.28,1
2337,King,170996.86,0
2338,Favors,20603.32,0
2339,Vida,141763.26,0
2340,Thomas,122284.38,1
2341,Wayn,190011.85,0
2342,Tan,128046.98,0
2343,Gibson,135662.17,0
2344,Y?,7571.51,1
2345,Calabresi,23596.24,0
2346,Enyinnaya,92727.42,1
2347,Ritchie,65156.83,1
2348,Chia,60151.77,0
2349,Wang,149097.38,1
2350,Lorenzo,35199.24,1
2351,Pai,129451.29,1
2352,Nuttall,145134.49,1
2353,Osborne,192709.69,0
2354,Ferri,139083.7,0
2355,Hamilton,83629.6,1
2356,McEwan,35625.41,0
2357,Lai,35338.96,0
2358,Hs?,15602.8,0
2359,Thompson,182355.21,0
2360,Boyd,89327.67,0
2361,Trevisani,151903.6,0
2362,Lucciano,11.58,1
2363,Holman,77519.62,0
2364,Bazhenov,91423.69,0
2365,Douglas,106287.77,0
2366,Hill,161800.77,0
2367,Lo,80582.34,1
2368,Forbes,185094.48,0
2369,Lin,172586.89,1
2370,Sinclair,195649.79,0
2371,Kemp,145792.01,0
2372,Ebelegbulam,138510.01,1
2373,Woods,168895.06,0
2374,Genovese,97983.44,0
2375,Tseng,85167.88,0
2376,Chiang,18210.36,0
2377,Williams,13608.18,0
2378,Wilson,110457.99,0
2379,Wang,31231.35,0
2380,Moore,141582.66,0
2381,Iadanza,14666.35,1
2382,Wallace,55400.17,0
2383,Clark,174667.65,0
2384,Y?,154189.08,0
2385,Yermakov,142170.44,0
2386,Wei,94499.06,0
2387,Chukwunonso,182081.45,0
2388,McIntyre,68562.26,1
2389,Ts'ai,88798.02,0
2390,Chung,113781.99,0
2391,Tsou,121866.87,0
2392,Aitken,150390.57,0
2393,Dawson,60708.72,1
2394,Ward,78858.07,0
2395,Pai,56407.42,1
2396,Ifeanyichukwu,125698.97,0
2397,Briggs,23235.38,0
2398,Morrison,75732.25,0
2399,Wall,179861.79,0
2400,Nebechukwu,42976.64,0
2401,Yao,10486.69,0
2402,Liao,56794.73,0
2403,Ch'ang,28157.34,0
2404,Burke,152422.91,1
2405,Kay,167033.83,0
2406,McIntyre,126082.18,0
2407,Chidiegwu,181499.77,1
2408,Musgrove,41967.03,0
2409,Boulger,186300.59,0
2410,Gow,85412.54,0
2411,Amaechi,23343.18,0
2412,Robe,180698.32,0
2413,Bibi,136071.05,0
2414,Niu,175149.2,1
2415,Palerma,146949.74,0
2416,Cocci,88920.68,0
2417,Artemieva,45098.62,0
2418,Arcuri,20339.79,1
2419,Owen,108528.74,0
2420,Franklin,145560.38,0
2421,Lorenzo,199357.24,0
2422,Muriel,43106.17,0
2423,MacDevitt,137508.31,0
2424,Chijindum,91957.39,0
2425,Gibson,120612.11,0
2426,Whitehead,102921.17,0
2427,Johnstone,31686.33,1
2428,Endrizzi,180002.42,0
2429,Burke,28407.4,0
2430,Johnson,73743.95,1
2431,Yeh,186233.26,1
2432,Marshall,31728.86,1
2433,Kao,48244.64,0
2434,Browne,113266.28,1
2435,Taylor,71178.09,0
2436,Gibbons,25684.93,0
2437,Nott,29737.14,0
2438,Lei,149922.38,1
2439,Alexeeva,180702.12,1
2440,Sheets,27597.59,0
2441,Tokaryev,95025.27,0
2442,Ts'ui,167035.07,0
2443,Johnston,116781.71,0
2444,Kung,21170.81,0
2445,Unwin,29641.58,0
2446,Hsueh,116520.07,0
2447,Hao,44220.4,0
2448,L?,166188.28,0
2449,Frater,140857.76,1
2450,Brennan,37024.28,0
2451,Pisani,27513.47,0
2452,Golubev,17744.72,0
2453,Vanmeter,4423.63,0
2454,Hs?,109718.44,1
2455,Scott,107243.31,1
2456,Crawford,115288.24,0
2457,P'eng,41233.97,0
2458,Rearick,52952.24,0
2459,Genovesi,78955.8,1
2460,Glenny,26025.6,1
2461,Marks,174536.17,0
2462,Fleming,147311.47,1
2463,Davison,77965.44,0
2464,Chibuzo,5635.63,0
2465,Wilson,81310.1,0
2466,Endrizzi,111421.45,0
2467,Yuryeva,190269.21,0
2468,Ugochukwu,100950.48,0
2469,Lo Duca,113033.73,1
2470,Gallo,120663.57,0
2471,Trout,187192.23,0
2472,Morley,97825.23,0
2473,Chou,169621.69,1
2474,Shao,191557.1,1
2475,Trentino,103287.62,0
2476,Mazzanti,167538.66,0
2477,Endrizzi,64869.32,1
2478,Monaldo,102426.06,0
2479,Otutodilinna,107876.2,0
2480,Allen,37294.88,0
2481,Milne,89248.99,0
2482,Somadina,91973.63,0
2483,Chieloka,16870.2,0
2484,Chukwuebuka,121681.19,0
2485,Chioke,33730.43,0
2486,Kovalev,104786.59,0
2487,Doherty,94790.34,0
2488,Baranov,28726.07,0
2489,Rossi,67057.27,0
2490,Robinson,69079.85,0
2491,Bidencope,179780.74,0
2492,T'ien,183572.39,1
2493,De Bernales,142587.32,0
2494,Wade,177844.06,0
2495,Chung,197634.11,1
2496,Stevenson,121053.19,0
2497,Chienezie,149613.77,0
2498,Cashin,142.81,0
2499,Seppelt,131766.67,1
2500,Brownless,53311.78,0
2501,McDonald,107665.02,0
2502,Mamelu,109523.88,0
2503,McGregor,112132.86,0
2504,McDonald,113645.4,0
2505,Crawford,180890.4,0
2506,Feng,70974.13,0
2507,Genovese,53379.52,0
2508,Pirozzi,158531.01,0
2509,Gibbs,179267.94,1
2510,Milne,84606.03,0
2511,Dickson,56984.58,0
2512,O'Connor,116912.45,0
2513,McGuirk,102999.33,0
2514,Toscani,132801.57,0
2515,Ruth,85455.62,1
2516,Hughes,98657.01,0
2517,Onyekaozulu,107948.72,0
2518,Aksenov,67944.09,1
2519,K'ung,192892.05,0
2520,Meng,187247.56,1
2521,Nwoye,114722.42,0
2522,Calabresi,111687.57,0
2523,Milano,184182.25,0
2524,Kirby,52759.82,1
2525,Ho,126451.14,0
2526,Chukwuemeka,12048.67,0
2527,Hale,95804.33,0
2528,K?,197911.52,0
2529,Rice,182531.74,0
2530,Brown,168002.31,1
2531,Sagese,79450.61,0
2532,Aksyonova,60615.83,0
2533,Findlay,8643.21,0
2534,Walker,172172.7,0
2535,Hao,174434.06,1
2536,Hammer,194930.3,1
2537,Abbott,137476.71,0
2538,Lucas,94415.6,0
2539,Davydova,120376.87,1
2540,West,97623.42,1
2541,Smith,66238.23,1
2542,Mai,131710.59,1
2543,Fiorentino,69052.87,0
2544,Freeman,56780.97,0
2545,Nkemjika,170072.9,0
2546,Ramos,191849.15,1
2547,Mario,84803.76,0
2548,Chien,31840.59,1
2549,Dubinina,12096.61,1
2550,Wang,44165.84,0
2551,Hsieh,91406.62,0
2552,Moran,83282.21,0
2553,Hung,198446.91,1
2554,Moss,7554.68,0
2555,Fedorova,80416.16,0
2556,Li,164549.74,0
2557,Nebechi,175477.03,0
2558,Obialo,137903.54,0
2559,Bateson,93795.86,0
2560,Long,67997.13,1
2561,Nelson,49492.15,0
2562,Bell,35825.18,0
2563,Udinese,67494.23,0
2564,Mao,73963.17,1
2565,Fanucci,145159.26,0
2566,Yeh,123850.58,0
2567,Onuoha,23822.04,0
2568,Moore,45750.21,1
2569,Thornton,159773.14,0
2570,Warlow-Davies,84238.63,0
2571,Champion,72330.46,0
2572,Mazzanti,26767.85,0
2573,Macleod,164768.82,0
2574,Lei,1112.76,1
2575,Lucchese,176680.16,1
2576,Lombardo,43999.64,0
2577,William,140746.13,0
2578,Wright,152790.92,0
2579,Ozoemena,81537.85,1
2580,Boyle,7387.8,1
2581,Chinwendu,183038.33,0
2582,Uwaezuoke,138849.06,0
2583,Archambault,170333.38,0
2584,Ko,60416.76,0
2585,Udegbulam,100240.2,0
2586,Greene,2704.98,0
2587,Hunter,68815.05,0
2588,Blinova,64839.23,0
2589,De Garis,144494.94,0
2590,Okwudiliolisa,185510.34,0
2591,Ts'ai,56055.72,0
2592,Tuan,155061.97,0
2593,Tseng,119817.19,0
2594,Holmwood,16259.64,1
2595,Thompson,184654.87,0
2596,Y?,5278.78,0
2597,Chidubem,113244.73,0
2598,Trevisani,8908.0,0
2599,Hsiung,64490.67,0
2600,Randall,154971.63,1
2601,Leach,155786.39,0
2602,Godfrey,129084.82,0
2603,Wallace,188533.11,0
2604,Wei,13411.67,0
2605,Mitchell,15733.19,0
2606,Light,73127.61,0
2607,Capon,101704.19,0
2608,Hou,101986.16,0
2609,Rowe,114442.66,0
2610,Holloway,15669.17,0
2611,O'Sullivan,157486.1,0
2612,Udinesi,131281.28,0
2613,Nwebube,197001.15,0
2614,Chibueze,128881.87,1
2615,Walker,85101.0,0
2616,Gregory,149822.04,0
2617,Kuo,108040.86,1
2618,Wilson,135795.53,0
2619,Lanford,25867.67,1
2620,Meng,130483.56,0
2621,Yeh,183479.12,0
2622,Onwuatuegwu,77027.34,0
2623,Goliwe,94141.75,0
2624,Anthony,4092.75,0
2625,Scott,109257.59,0
2626,Genovese,104617.99,0
2627,Onyeorulu,167705.07,0
2628,Myers,103712.05,1
2629,Davey,161242.99,1
2630,Parsons,6089.13,0
2631,Chikere,159777.37,0
2632,Hs?eh,7919.08,0
2633,Sal,188274.6,0
2634,Ts'ai,27608.12,1
2635,Witt,183569.25,0
2636,Skelton,145537.32,0
2637,Kazantseva,164717.95,0
2638,Bowhay,76357.43,0
2639,Beyer,120158.72,1
2640,Fries,151843.54,0
2641,Tao,5698.97,0
2642,Kaodilinakachukwu,122865.55,0
2643,Ni,152665.85,0
2644,Hsueh,192131.77,0
2645,Connely,62851.6,0
2646,Becker,140941.47,0
2647,Clayton,56767.67,1
2648,Connolly,177235.23,0
2649,Graham,86242.18,0
2650,Ch'ien,34215.58,0
2651,Manfrin,44406.17,0
2652,Kuo,165196.65,0
2653,Fomin,34542.41,0
2654,Chamberlain,74838.64,1
2655,Barber,36980.54,0
2656,Zimmer,111676.63,0
2657,Brazenor,25858.68,0
2658,Cocci,177028.0,1
2659,Caldwell,30990.16,1
2660,Yirawala,136915.15,0
2661,Donaldson,108457.99,1
2662,Ozerova,131609.48,1
2663,Bruce,159737.56,0
2664,Kang,142238.54,0
2665,Rossi,105890.55,1
2666,Ts'ai,194270.91,0
2667,Moran,105443.47,0
2668,Jennings,173899.42,1
2669,Tokareva,122823.34,0
2670,Pagnotto,13181.37,1
2671,Castella,140780.8,0
2672,Du Cane,78560.64,0
2673,Ferguson,185855.21,0
2674,Odinakachukwu,128276.95,0
2675,Woronoff,140197.42,0
2676,Meng,32462.39,1
2677,Sinclair,162253.9,0
2678,Hsu,30498.7,0
2679,Panicucci,90280.7,0
2680,Burns,32615.21,0
2681,Onodugoadiegbemma,196142.26,0
2682,Darling,16998.72,0
2683,Maggard,62980.96,0
2684,Thomas,185660.3,0
2685,Lettiere,77331.77,0
2686,Ponomaryov,97338.62,0
2687,Oliver,67234.33,0
2688,Chienezie,143783.28,0
2689,Mao,77661.12,1
2690,Ho,89123.99,0
2691,Lucchese,70810.8,0
2692,Prokhorova,17550.49,0
2693,Alekseyeva,21497.27,0
2694,Blacklock,124749.08,0
2695,Sazonova,36051.46,1
2696,Henty,143681.83,0
2697,Li,150694.58,0
2698,Azuka,170487.4,1
2699,Alexander,97684.46,0
2700,Brock,53520.03,0
2701,Shen,15200.61,0
2702,Padovesi,196894.62,0
2703,Bulgakov,4969.13,1
2704,Mazzanti,26229.24,0
2705,Lord,134034.32,0
2706,Ramos,198032.93,0
2707,Pai,119882.86,0
2708,Yuan,133102.3,0
2709,Mao,176395.02,0
2710,Uspenskaya,193179.88,0
2711,Powell,125062.02,0
2712,Brown,143287.58,0
2713,Poole,87236.4,0
2714,McChesney,93769.89,0
2715,Lucchese,88965.46,0
2716,Clements,30793.61,0
2717,Yuriev,74532.02,0
2718,Endrizzi,113086.08,0
2719,Pan,32574.01,1
2720,Manfrin,130113.78,1
2721,Kennedy,104722.47,1
2722,Conway,14559.62,0
2723,Lablanc,598.8,0
2724,Dodd,129697.99,0
2725,Muir,36315.03,0
2726,Milanesi,1114.12,0
2727,Shen,70954.41,0
2728,Dillon,73470.98,0
2729,Hoelscher,91573.19,0
2730,Bell,3154.95,0
2731,Liao,88187.81,0
2732,Udokamma,118855.26,1
2733,Sinnett,125256.53,0
2734,Palerma,39016.43,0
2735,Chimaijem,145796.49,0
2736,Porter,168816.22,0
2737,Fan,73322.0,0
2738,Palmer,113677.53,1
2739,Younger,124607.7,0
2740,Burke,11276.48,0
2741,Nwagugheuzo,136620.64,0
2742,Young,70523.92,0
2743,Watson,51980.25,1
2744,Tseng,113481.02,0
2745,Drake,49025.79,0
2746,Hanna,145937.99,0
2747,Padovesi,25161.61,0
2748,Loftus,175753.55,1
2749,Buccho,24903.09,0
2750,Lorenzo,169719.35,1
2751,Ibezimako,179565.57,0
2752,Wei,115337.74,1
2753,Ross,48131.92,0
2754,Oluchukwu,160828.98,0
2755,Walker,145151.96,0
2756,Wu,196293.76,0
2757,Chidalu,161653.5,1
2758,Ingram,84635.64,0
2759,Ch'en,159486.76,0
2760,Iredale,38596.34,0
2761,Gallagher,27814.74,0
2762,Padilla,183893.31,0
2763,Potter,140803.7,0
2764,Mao,146585.53,0
2765,Schneider,40062.29,0
2766,Ibragimova,181300.32,0
2767,Huang,84136.12,0
2768,Anderson,197594.34,0
2769,Nakayama,125953.83,1
2770,Gardener,75465.41,0
2771,Aksenova,177737.07,0
2772,Milne,7144.46,0
2773,Onwumelu,155639.76,0
2774,Kudryashova,162428.05,0
2775,Hart,12457.76,1
2776,Teng,14917.09,0
2777,Kruglova,182184.09,1
2778,Palerma,129984.2,0
2779,Brookes,194872.97,0
2780,Hsing,117507.11,0
2781,Shaffer,157527.6,1
2782,Laurie,92612.88,0
2783,Chung,74850.84,0
2784,Whitfield,127413.0,0
2785,Thomas,69584.3,1
2786,Rioux,198814.24,1
2787,Osonduagwuike,162643.15,1
2788,Matveyev,114092.52,0
2789,Hayward,68860.3,1
2790,Nkemdirim,16150.34,0
2791,Brim,115227.02,0
2792,Trevisano,170621.55,0
2793,Soubeiran,103099.22,0
2794,Wilson,172495.81,1
2795,Helena,38772.82,0
2796,Duncan,44946.29,0
2797,Hale,146007.7,0
2798,Macdonald,145558.42,0
2799,McKay,193312.33,0
2800,Chiekwugo,40257.79,0
2801,Skinner,46677.9,0
2802,Sorokina,153887.93,1
2803,Weller,103108.33,0
2804,Bess,58652.23,0
2805,MacDonald,91624.11,1
2806,Gray,65986.48,1
2807,Ogbonnaya,113845.19,0
2808,Udegbulam,67607.9,0
2809,Mai,145471.94,0
2810,Yeh,124071.71,0
2811,Babbage,67502.12,0
2812,Franklin,78707.97,0
2813,Randell,171189.83,1
2814,Paterson,149381.32,0
2815,Pickering,100335.55,0
2816,Uspensky,152698.24,0
2817,Macleod,41192.95,0
2818,Nnaife,132540.33,0
2819,Randolph,96875.52,0
2820,Kudryashova,152305.47,0
2821,George,49672.01,0
2822,Robertson,133997.53,0
2823,Yuryeva,50454.8,0
2824,Hurst,16402.11,0
2825,Ch'iu,67803.83,0
2826,King,9241.78,0
2827,Esposito,100601.73,0
2828,Fraser,98734.15,0
2829,Trentini,160574.09,0
2830,Nicholls,26015.8,0
2831,Montalvo,187172.54,0
2832,Tien,55763.66,0
2833,Chuang,75848.22,0
2834,Fang,40313.47,0
2835,Kosisochukwu,23864.21,0
2836,Young,51380.9,0
2837,Scott,93551.36,0
2838,Yeh,169415.54,0
2839,Vigano,6935.31,0
2840,Windradyne,25399.7,0
2841,Curnow,66256.27,0
2842,Ugonna,114709.13,1
2843,De Neeve,158357.97,0
2844,Ricci,164815.59,0
2845,Nnaife,132127.69,1
2846,Ebelechukwu,146637.45,0
2847,Keating,90256.06,1
2848,Tuan,34827.43,0
2849,Shearston,22074.48,0
2850,Tien,109805.17,0
2851,Hamilton,100478.6,1
2852,Arnold,97416.34,0
2853,Ting,24207.86,1
2854,Chao,69132.66,0
2855,Powell,9376.89,0
2856,Williams,43046.7,1
2857,Cheng,20856.31,0
2858,Zhdanova,187048.72,0
2859,Tsai,53420.53,0
2860,Nebechukwu,37013.29,0
2861,Fetherstonhaugh,89566.64,0
2862,Ojiofor,149913.84,0
2863,Severson,18066.69,0
2864,Speight,26912.34,0
2865,Greenwalt,173511.72,0
2866,Grover,146785.44,0
2867,Milani,1050.33,0
2868,Akobundu,89587.34,1
2869,Anderson,74405.34,0
2870,Chien,54409.48,0
2871,Kennedy,3647.57,0
2872,Castiglione,198874.52,1
2873,Marshall,53412.54,0
2874,Duncan,194867.78,0
2875,Uspenskaya,150452.88,0
2876,Thomson,57807.05,0
2877,Calabrese,107534.32,0
2878,Herrera,194073.33,0
2879,Muse,126233.18,1
2880,Marsden,182354.46,1
2881,Artemyeva,120586.32,0
2882,McKay,50578.4,0
2883,Chuang,86575.46,0
2884,Nicholls,153392.28,0
2885,Dennis,115509.59,0
2886,Knight,82176.48,0
2887,Webb,63717.49,0
2888,Pugliesi,198745.94,0
2889,Nebechukwu,5719.11,0
2890,Ward,20058.61,0
2891,Nixon,170638.98,0
2892,Chidubem,30607.11,0
2893,Rivers,37171.46,0
2894,Sochima,42589.33,0
2895,Heydon,66799.28,0
2896,Lombardo,101866.39,0
2897,Holland,49284.0,0
2898,Tien,27445.4,1
2899,Bryant,70760.69,0
2900,Hao,104502.02,1
2901,Genovesi,165407.96,0
2902,Kovalev,113580.79,0
2903,Hsieh,45978.39,0
2904,Debellis,152012.36,0
2905,Chibueze,77349.92,0
2906,Padovano,47322.05,0
2907,Yen,38772.65,0
2908,Kibble,24489.44,0
2909,Lori,14466.08,0
2910,Enemuo,63142.12,0
2911,Lu,41858.43,0
2912,Nebeolisa,127443.82,1
2913,Stewart,84151.98,0
2914,Ward,58595.64,0
2915,Milanesi,37240.11,1
2916,Chikwado,114522.68,1
2917,Douglas,72549.27,1
2918,Sal,176712.59,1
2919,Douglas,152855.96,0
2920,Yates,73371.65,0
2921,Watt,70323.68,0
2922,P'an,9663.28,0
2923,H?,142514.66,0
2924,Perry,118623.94,0
2925,Lavrov,68400.14,0
2926,Chiekwugo,115291.86,0
2927,Macdonald,170382.99,0
2928,Jenkins,112946.67,1
2929,Korovina,79812.77,0
2930,Manning,19862.78,0
2931,Wilson,158610.89,0
2932,Begum,191212.63,1
2933,Ingrassia,61931.21,0
2934,Maclean,58043.02,1
2935,Olejuru,22247.27,0
2936,Enyinnaya,31448.52,0
2937,Watson,146875.86,0
2938,Langdon,116081.93,0
2939,Frolov,73669.94,1
2940,Chikezie,93959.96,0
2941,Zetticci,158918.03,0
2942,Yang,198193.75,0
2943,Lin,13160.03,0
2944,Goddard,4660.91,0
2945,Rogers,180197.74,1
2946,Zubareva,63023.02,0
2947,Onochie,118971.74,0
2948,Ts'ui,154700.61,0
